# CVS $Revision: $ $Author: $ -- Mon Feb 22 22:56:28 2016 -- reformated by PCGen PrettyLST v6.06.00

# Class Name	Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Barbarian	HD:12		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:BarbarianLVL|0	BONUS:VAR|BarbarianLVL|CL
# Class Name	Multiple Requirements
CLASS:Barbarian	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Barbarian],[PRECLASS:1,Barbarian=1]
11	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Reliable Talent
14	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Blindsense
15	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Slippery Mind
18	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Elusive
20	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Stroke of Luck
###Block
3	CAST:0,1+RogueCast1
4	CAST:0,1+RogueCast1
5	CAST:0,1+RogueCast1
6	CAST:0,1+RogueCast1
7	CAST:0,1+RogueCast1,RogueCast2
8	CAST:0,1+RogueCast1,RogueCast2
9	CAST:0,1+RogueCast1,RogueCast2
10	CAST:0,1+RogueCast1,RogueCast2
11	CAST:0,1+RogueCast1,RogueCast2
12	CAST:0,1+RogueCast1,RogueCast2
13	CAST:0,1+RogueCast1,RogueCast2,RogueCast3
14	CAST:0,1+RogueCast1,RogueCast2,RogueCast3
15	CAST:0,1+RogueCast1,RogueCast2,RogueCast3
16	CAST:0,1+RogueCast1,RogueCast2,RogueCast3
17	CAST:0,1+RogueCast1,RogueCast2,RogueCast3
18	CAST:0,1+RogueCast1,RogueCast2,RogueCast3
19	CAST:0,1+RogueCast1,RogueCast2,RogueCast3,RogueCast4
20	CAST:0,1+RogueCast1,RogueCast2,RogueCast3,RogueCast4

# Class Name	Hit Dice	Type			Define			Modify VAR																	FACT
CLASS:Sorcerer	HD:6		TYPE:PC.Base	DEFINE:SorcererLVL|0	BONUS:VAR|SorcererLVL|CL	BONUS:VAR|SpellCasterTotalLVL|SorcererLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Sorcerer	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Sorcerer],[PRECLASS:1,Sorcerer=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Sorcerer	SPELLSTAT:CHA	MEMORIZE:NO	BONUS:CASTERLEVEL|Sorcerer|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Sorcerer
###Block: Abilities
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Spell Casting
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Cantrips
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Sorcerous Origin
2	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Font of Magic
2	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Sorcery Points
2	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Flexible Casting
2	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Creating Spell Slots
3	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Metamagic
4	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Ability Score Improvement
20	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer ~ Sorcerous Restoration
###Block
1	CAST:99,SorcererCast1
2	CAST:99,SorcererCast1
3	CAST:99,SorcererCast1,SorcererCast2
4	CAST:99,SorcererCast1,SorcererCast2
5	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3
6	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3
7	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4
8	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4
9	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5
10	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5
11	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6
12	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6
13	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7
14	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7
15	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7,SorcererCast8
16	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7,SorcererCast8
17	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7,SorcererCast8,SorcererCast9
18	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7,SorcererCast8,SorcererCast9
19	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7,SorcererCast8,SorcererCast9
20	CAST:99,SorcererCast1,SorcererCast2,SorcererCast3,SorcererCast4,SorcererCast5,SorcererCast6,SorcererCast7,SorcererCast8,SorcererCast9
###Block
1	KNOWN:0,2
2	KNOWN:0,3
3	KNOWN:0,2,2
4	KNOWN:0,1,4
5	KNOWN:0,0,4,2
6	KNOWN:0,0,3,4
7	KNOWN:0,0,2,4,2
8	KNOWN:0,0,1,4,4
9	KNOWN:0,0,0,4,4,2
10	KNOWN:0,0,0,3,4,4
11	KNOWN:0,0,0,2,4,4,2
12	KNOWN:0,0,0,1,4,4,3
13	KNOWN:0,0,0,0,4,4,3,2
14	KNOWN:0,0,0,0,3,4,3,3
15	KNOWN:0,0,0,0,2,4,3,3,2
16	KNOWN:0,0,0,0,1,4,3,3,3
17	KNOWN:0,0,0,0,0,4,3,3,3,2
18	KNOWN:0,0,0,0,0,3,3,3,3,3
19	KNOWN:0,0,0,0,0,2,3,3,3,4
20	KNOWN:0,0,0,0,0,1,3,3,3,5

# Class Name	Hit Dice	Type			Define			Modify VAR			FACT
CLASS:Warlock	HD:8		TYPE:PC.Base	DEFINE:WarlockLVL|0	BONUS:VAR|WarlockLVL|CL	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Warlock	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Warlock],[PRECLASS:1,Warlock=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Warlock	SPELLSTAT:CHA	MEMORIZE:NO	BONUS:CASTERLEVEL|Warlock|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Warlock
###Block
1	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Otherworldly Patron
1	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Pact Magic
1	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Cantrips
1	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Spell Slots
1	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Spellcasting Focus
2	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Eldritch Invocations
3	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Pact Boon
4	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Ability Score Improvement
11	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Mystic Arcanum
20	ABILITY:Warlock Class Feature|AUTOMATIC|Warlock ~ Eldritch Master
###Block
1	CAST:0,1
2	CAST:0,2
3	CAST:0,0,2
4	CAST:0,0,2
5	CAST:0,0,0,2
6	CAST:0,0,0,2
7	CAST:0,0,0,0,2
8	CAST:0,0,0,0,2
9	CAST:0,0,0,0,0,2
10	CAST:0,0,0,0,0,2
11	CAST:0,0,0,0,0,3
12	CAST:0,0,0,0,0,3
13	CAST:0,0,0,0,0,3
14	CAST:0,0,0,0,0,3
15	CAST:0,0,0,0,0,3
16	CAST:0,0,0,0,0,3
17	CAST:0,0,0,0,0,4
18	CAST:0,0,0,0,0,4
19	CAST:0,0,0,0,0,4
20	CAST:0,0,0,0,0,4
###Block
1	KNOWN:0,2
2	KNOWN:0,3
3	KNOWN:0,2,2
4	KNOWN:0,1,4
5	KNOWN:0,0,4,2
6	KNOWN:0,0,3,4
7	KNOWN:0,0,2,4,2
8	KNOWN:0,0,1,4,4
9	KNOWN:0,0,0,4,4,2
10	KNOWN:0,0,0,3,4,3
11	KNOWN:0,0,0,2,4,5
12	KNOWN:0,0,0,1,4,6
13	KNOWN:0,0,0,0,4,8
14	KNOWN:0,0,0,0,3,9
15	KNOWN:0,0,0,0,2,11
16	KNOWN:0,0,0,0,1,12
17	KNOWN:0,0,0,0,0,14
18	KNOWN:0,0,0,0,0,14
19	KNOWN:0,0,0,0,0,15
20	KNOWN:0,0,0,0,0,15


# Class Name	Hit Dice	Type			Define			Modify VAR																FACT
CLASS:Wizard	HD:6		TYPE:PC.Base	DEFINE:WizardLVL|0	BONUS:VAR|WizardLVL|CL	BONUS:VAR|SpellCasterTotalLVL|WizardLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Wizard	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Wizard],[PRECLASS:1,Wizard=1]
# Class Name	Spell Stat		Memorize		Caster level
CLASS:Wizard	SPELLSTAT:INT	MEMORIZE:YES	BONUS:CASTERLEVEL|Wizard|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Wizard
###Block
1	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Spellcasting
1	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Cantrips
#	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Spellbook
1	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Preparing and Casting Spells
#	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Spellcasting Ability
1	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Ritual Casting
#	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Spellcasting Focus
#	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Learning Spells of 1st Level and Higher
1	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Arcane Recovery
2	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Arcane Tradition
4	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Ability Score Improvement
18	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Spell Mastery
20	ABILITY:Special Ability|AUTOMATIC|Wizard ~ Signature Spells
###Block
1	CAST:99,WizardCast1
2	CAST:99,WizardCast1
3	CAST:99,WizardCast1,WizardCast2
4	CAST:99,WizardCast1,WizardCast2
5	CAST:99,WizardCast1,WizardCast2,WizardCast3
6	CAST:99,WizardCast1,WizardCast2,WizardCast3
7	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4
8	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4
9	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5
10	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5
11	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6
12	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6
13	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7
14	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7
15	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7,WizardCast8
16	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7,WizardCast8
17	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7,WizardCast8,WizardCast9
18	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7,WizardCast8,WizardCast9
19	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7,WizardCast8,WizardCast9
20	CAST:99,WizardCast1,WizardCast2,WizardCast3,WizardCast4,WizardCast5,WizardCast6,WizardCast7,WizardCast8,WizardCast9


###Block - Domain Support
CLASS:Cleric.MOD
0	DOMAIN:Knowledge Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Knowledge Domain
0	DOMAIN:Life Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Life Domain	
0	DOMAIN:Light Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Light Domain	
0	DOMAIN:Nature Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Nature Domain	
0	DOMAIN:Tempest Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Tempest Domain
0	DOMAIN:Trickery Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Trickery Domain
0	DOMAIN:War Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ War Domain		
